uid,title,the content,writer,Published at,score,comments_quantity
41024062,,"I&#x27;ve been using rr for a while now, and it&#x27;s a game-changer for C&#x2F;C++ debugging on Linux. The deterministic replay and reverse execution features are incredibly powerful, especially for tracking down those elusive bugs. It&#x27;s like having a time machine for your code! Anyone else had experiences with rr making their debugging process smoother?",nsjolj,1721558737,,
41024183,,"Perhaps worth mentioning is that someone attempted to port this to Rust and got about 60,000 lines of code into it before archiving the project. I feel like comparing these two efforts would be an interesting case study on the impacts &#x2F; benefits &#x2F; limitations or difficulties, etc involved in rewriting from C++ to Rust.<p><a href=""https:&#x2F;&#x2F;github.com&#x2F;sidkshatriya&#x2F;rd&#x2F;"">https:&#x2F;&#x2F;github.com&#x2F;sidkshatriya&#x2F;rd&#x2F;</a>",suby,1721560101,,
41024314,,"A couple of previous discussions:<p><a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=31617600"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=31617600</a> (June 2022)<p><a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=18388879"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=18388879</a> (Nov 2018)",jfk13,1721561505,,
41024047,,"rr is really cool, but almost every time I have decided to pull it out as one of the &quot;big guns&quot; it turns out that I have a concurrency bug and so rr is unable to reproduce it.<p>Despite that, it would be very, very, very cool if some languages built rr directly into their tooling. Obviously you can always &quot;just&quot; use rr&#x2F;gdb, but imagine if rr invocations were as easy to set up and do as pdb is in Python!",rtpg,1721558604,,
41023880,,"The Dutch digraph ij originated from the same custom. Originally written ii, later ij, and pronounced as a long i (English &quot;ee&quot;), the sound later shifted to be similar to English &quot;eye&quot;, see the Dutch names for the cities Berlijn and Parijs. Meanwhile, the long i sound is now written as ie. IJ is the only Dutch digraph that tends to be treated as a single letter and is capitalized as such. In education in the Netherlands it is taught as the 25th letter instead of y, which does not occur in native Dutch words, and in the phone book it used to be sorted together (mixed) with y. But since the advent of computers it is generally sorted as i followed by j. There are a few place names like Ysselsteyn where Y is pronounced as IJ.",gpvos,1721556228,,
41024007,,"Similar flourish to the &quot;long s&quot; once used in English to spell the &quot;ss&quot; gemination: <i>poſseſs</i> or <i>poſſeſs</i>.<p><a href=""https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Long_s"" rel=""nofollow"">https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Long_s</a>",Sharlin,1721558094,,
41023283,,Looks like vim when I forget to map jk to escape.,nojs,1721548046,,
41023485,,"Seems Just like the letter -y at the end of a or Spanish (or English?) word is a glorified i, to make it more legible<p>Ley, rey, etc.",create-account,1721551164,,
41023857,,"&gt; if all the letters i and J are not dotted, the pharmacist may be in doubt as to the number intended.<p>Oh, is that where &quot;dot the i&#x27;s and cross the t&#x27;s&quot; comes from? I can imagine that saying being hammered into many medical practitioners back then.",qznc,1721555924,,
41023294,,Now I wonder why pharmacists used roman numerals,kzrdude,1721548127,,
